"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"87292191272","87292191272_1943314","1","1943314","Aiteas","-8.51056","126.01583","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aiteas","2","1"
"87292441822","87292441822_1943314","1","1943314","Aiteas","-8.51056","126.01583","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aiteas","2","1"
"87292861561","87292861561_1943314","1","1943314","Aiteas","-8.51056","126.01583","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aiteas","2","1"
"87292191130","87292191130_8629901","1","8629901","Aitenua","-8.84389","125.69","PPL","populated place","6295630|6255151|TL|8629901","Earth|Oceania|East Timor|Aitenua","2","1"
"87292441822","87292441822_1943102","1","1943102","Aitoin","-8.71306","125.64722","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aitoin","2","1"
"87292191130","87292191130_1944525","1","1944525","Aituha","-8.91194","125.77139","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aituha","2","1"
"87292391462","87292391462_1944525","1","1944525","Aituha","-8.91194","125.77139","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aituha","2","1"
"87292191274","87292191274_1944654","1","1944654","Aitura","-8.79944","125.4025","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aitura","2","1"
"87292191130","87292191130_1944891","1","1944891","Aituto","-8.90028","125.59278","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aituto","2","1"
"87292191287","87292191287_1944891","1","1944891","Aituto","-8.90028","125.59278","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aituto","2","1"
"87292441822","87292441822_1944891","1","1944891","Aituto","-8.90028","125.59278","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aituto","2","1"
"87292643967","87292643967_1944891","1","1944891","Aituto","-8.90028","125.59278","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aituto","2","1"
"87292861561","87292861561_1944891","1","1944891","Aituto","-8.90028","125.59278","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aituto","2","1"
"87292441820","87292441820_1942674","1","1942674","Akanunu","-8.55639","125.64806","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Akanunu","2","1"
"87292441820","87292441820_1946152","1","1946152","Alaua","-8.62472","126.6775","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Alaua","2","1"
"87292643975","87292643975_1946136","1","1946136","Alaua Leten","-8.61944","126.6575","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Alaua Leten","2","1"
"87292643975","87292643975_8629769","1","8629769","Alaua-Craik","-8.69711","126.614","PPL","populated place","6295630|6255151|TL|8629769","Earth|Oceania|East Timor|Alaua-Craik","2","1"
"87292391462","87292391462_8629015","1","8629015","Alawa Leten","-8.61667","126.65","PPL","populated place","6295630|6255151|TL|8629015","Earth|Oceania|East Timor|Alawa Leten","2","1"
"87292391462","87292391462_8643845","1","8643845","Alawa Craik","-8.63333","126.65","PPL","populated place","6295630|6255151|TL|8643845","Earth|Oceania|East Timor|Alawa Craik","2","1"
"87292441820","87292441820_8629015","1","8629015","Alawa Leten","-8.61667","126.65","PPL","populated place","6295630|6255151|TL|8629015","Earth|Oceania|East Timor|Alawa Leten","2","1"
"87292191274","87292191274_1945577","1","1945577","Ames","-9.15917","125.27972","PPL","populated place","6295630|6255151|TL|BO|1945577","Earth|Oceania|East Timor|Bobonaro|Ames","2","1"
"87292191287","87292191287_8643665","1","8643665","Anauaru","-8.45371","126.44458","PPL","populated place","6295630|6255151|TL|8643665","Earth|Oceania|East Timor|Anauaru","2","1"
"87292471702","87292471702_1942543","1","1942543","Anawaro","-8.45333","126.44111","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Anawaro","2","1"
"87292191274","87292191274_1944972","1","1944972","Anicalau","-8.61833","125.80361","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Anicalau","2","1"
"87292452231","87292452231_1944668","1","1944668","Apidou","-8.76167","125.41222","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Apidou","2","1"
"87292191274","87292191274_8644028","1","8644028","Arleu","-8.73333","125.35","PPL","populated place","6295630|6255151|TL|8644028","Earth|Oceania|East Timor|Arleu","2","1"
"87292191274","87292191274_1944581","1","1944581","Assi","-8.85639","125.40889","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Assi","2","1"
"87292191130","87292191130_1945053","1","1945053","Asulau","-8.77306","125.31667","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Asulau","2","1"
"87292411770","87292411770_1945053","1","1945053","Asulau","-8.77306","125.31667","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Asulau","2","1"
"87292484126","87292484126_1945053","1","1945053","Asulau","-8.77306","125.31667","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Asulau","2","1"
"87292391462","87292391462_8629060","1","8629060","Atabae","-8.83333","125.2","PPL","populated place","6295630|6255151|TL|8629060","Earth|Oceania|East Timor|Atabae","2","1"
"87292401912","87292401912_8629060","1","8629060","Atabae","-8.83333","125.2","PPL","populated place","6295630|6255151|TL|8629060","Earth|Oceania|East Timor|Atabae","2","1"
"87292441820","87292441820_8629060","1","8629060","Atabae","-8.83333","125.2","PPL","populated place","6295630|6255151|TL|8629060","Earth|Oceania|East Timor|Atabae","2","1"
"87292643975","87292643975_8629060","1","8629060","Atabae","-8.83333","125.2","PPL","populated place","6295630|6255151|TL|8629060","Earth|Oceania|East Timor|Atabae","2","1"
"87292191287","87292191287_8629075","1","8629075","Atara","-8.95","125.38333","PPL","populated place","6295630|6255151|TL|8629075","Earth|Oceania|East Timor|Atara","2","1"
"87292411782","87292411782_8629075","1","8629075","Atara","-8.95","125.38333","PPL","populated place","6295630|6255151|TL|8629075","Earth|Oceania|East Timor|Atara","2","1"
"87292441820","87292441820_8629075","1","8629075","Atara","-8.95","125.38333","PPL","populated place","6295630|6255151|TL|8629075","Earth|Oceania|East Timor|Atara","2","1"
"87292361445","87292361445_1635814","1","1635814","Atauro","-8.26667","125.60139","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atauro","2","1"
"87292391462","87292391462_1946056","1","1946056","Atelari","-8.54667","126.70361","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atelari","2","1"
"87292441820","87292441820_1946056","1","1946056","Atelari","-8.54667","126.70361","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atelari","2","1"
"87292643975","87292643975_1946056","1","1946056","Atelari","-8.54667","126.70361","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atelari","2","1"
"87292861561","87292861561_1946056","1","1946056","Atelari","-8.54667","126.70361","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atelari","2","1"
"87292191220","87292191220_1651079","1","1651079","Atsabe","-8.925","125.39806","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atsabe","2","1"
